Artist,Title,Location,Date,Sold,Selling Price,low_estimate,high_estimate,Category,Auction Name,Image
"Benjamin West, P.R.A.","Portrait Of Prince William, Later King William Iv Of Great Britain (1765–1837), When A Midshipman, In Naval Uniform Standing On The Deck Of Hms Prince George  ，（1765–1837）",London,2021,True,396825.16,262450.5,393675.75,Old Masters,Old Masters Evening Sale,https://sothebys-md.brightspotcdn.com/dims4/default/ed75e23/2147483647/strip/true/crop/1589x2000+0+0/resize/2048x2578!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F54%2F2e%2F221760d140a693df96bfd2b97110%2Fl21033-bqpd8-01-a.jpg
"Benjamin West, P.R.A.",The Recovery Of His Majesty In The Year 1789 1789,London,2021,True,264550.1,196837.87,262450.5,Old Masters,Old Masters Evening Sale,https://sothebys-md.brightspotcdn.com/dims4/default/81d7eaf/2147483647/strip/true/crop/2000x1335+0+0/resize/2048x1367!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F33%2Fd8%2F252f1b414fe098df441c60bb2718%2Fl21036-c2j7w-02-a-t1.jpg
Bernardo Bellotto ,"Dresden, A View Of The Moat Of The Zwinger",London,2020,True,7135241.73,3936757.49,5249009.99,Old Masters,Rembrandt to Richter,https://sothebys-md.brightspotcdn.com/dims4/default/a698f9c/2147483647/strip/true/crop/2000x1199+0+0/resize/2048x1228!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F11%2F47%2Fd5e306e9458f8ac6bfd9f64ca4e5%2F051l20022-bjhgb-01.jpg
Bernardo Bellotto ,"Venice, A View Of The Campo And Church Of Santa Maria Formosa",New York,2020,True,3408000.0,3000000.0,5000000.0,Old Masters,The Collection of Ambassador and Mrs. Felix Rohatyn,https://sothebys-md.brightspotcdn.com/dims4/default/b116896/2147483647/strip/true/crop/1840x1200+0+0/resize/2048x1336!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F3a%2F38%2F953d6fe448ba8f4f7b47769eea67%2Fn10385-26-76lh4-web.jpg
"Charles François Grenier De Lacroix, Called Lacroix De Marseille",A Marine At Sunset,Paris,2021,True,19582.16,22202.0,33303.0,Old Masters,"Tableaux Dessins Sculptures 1300-1900, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/796cd67/2147483647/strip/true/crop/2000x1124+0+0/resize/2048x1151!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F96%2Fcf%2F886ceef048a19ec341244e709917%2F280pf2109-bwwmh-01.jpg
"Charles François Grenier De Lacroix, Called Lacroix De Marseille",A Port At Sunset,Paris,2021,True,25177.07,22202.0,33303.0,Old Masters,"Tableaux Dessins Sculptures 1300-1900, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/e4170ee/2147483647/strip/true/crop/2000x1487+0+0/resize/2048x1523!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F05%2Fc5%2Fdb005eaa404c824d919cc5b5dd49%2F210pf2109-bt7jh-01.jpg
"Charles François Grenier De Lacroix, Called Lacroix De Marseille",Fishermen At Sunrise; A Storm,Paris,2021,True,90917.19,77707.0,111010.0,Old Masters,"Tableaux Dessins Sculptures 1300-1900, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/10ee489/2147483647/strip/true/crop/1373x2000+0+0/resize/2048x2983!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fac%2Fb7%2F72f025294dd7a0d556050a5b6f2d%2F200pf2109-bt6hy-01.jpg
Charles Théodore Frère,Arrival Of A Caravan Outside Cairo,London,2022,True,16534.38,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/dbe33f2/2147483647/strip/true/crop/2000x1109+0+0/resize/2048x1136!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F67%2Fa6%2F48fb6a8f4ab5bd00aed8fab3b8a7%2Fl22100-c6q6c-01a-t2.jpg
Charles Théodore Frère,Sunset On The Nile,London,2022,True,173611.01,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/282d58e/2147483647/strip/true/crop/2000x1220+0+0/resize/2048x1249!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F21%2Fc2%2Fdb5ababe40f29f63455e14fa860b%2Fl22100-c5qgp-01-t1.jpg
Charles Théodore Frère,The Halt Of The Caravan,London,2022,True,14054.22,6561.26,9185.77,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/e620fc7/2147483647/strip/true/crop/2000x1272+0+0/resize/2048x1303!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1b%2Fa0%2Fe30f8d884e4699963fa8bdb44113%2Fl22100-c6f8b-01a-t2.jpg
